opcode_prefix,source_file,game_name,cheat_name,original_code_line,following_code_line_if_relevant,position_in_cheat,inferred_role,address_field,possible_saturn_address,value_field,address_range_guess,value_width_guess,confidence_low_medium_high,candidate_support_path,risk,notes
F6,libretro-sega-saturn\Andretti Racing (GameShark).cht,Andretti Racing,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Andretti Racing (GameShark).cht,Andretti Racing,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Master Code,F6000924+C305,B6002800+0000,1/2,master/enabler first record,0x000924,0x06000924,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Health P1,10205502+0004,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x205502,0x00205502,0x0004,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Bullets P1,102054D6+0008,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2054D6,0x002054D6,0x0008,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Grenade P1,102054DA+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2054DA,0x002054DA,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Lives P1,10205502+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x205502,0x00205502,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Credits P1,10250BEC+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x250BEC,0x00250BEC,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Ammo P2,1020557E+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x20557E,0x0020557E,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Grenade P2,10205582+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x205582,0x00205582,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Lives P2,102055AA+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2055AA,0x002055AA,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Area 51 (GameShark).cht,Area 51,Infinite Credits P2,10250BEE+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x250BEE,0x00250BEE,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
F6,libretro-sega-saturn\Astal (GameShark).cht,Astal,Master Code,F6000914+C305,,1/1,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Bases Loaded 96 - Double Header (GameShark).cht,Bases Loaded 96 - Double Header,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Bases Loaded 96 - Double Header (GameShark).cht,Bases Loaded 96 - Double Header,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Battle Arena Toshinden Remix (GameShark).cht,Battle Arena Toshinden Remix,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Battle Arena Toshinden Remix (GameShark).cht,Battle Arena Toshinden Remix,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,25% Energy P1,D60723A2+0200,160723A2+0080,1/2,conditional compare candidate before direct write,0x0723A2,0x060723A2,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,50% Energy P1,D60723A2+0200,160723A2+0100,1/2,conditional compare candidate before direct write,0x0723A2,0x060723A2,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,75% Energy P1,D60723A2+0200,160722A2+0180,1/2,conditional compare candidate before direct write,0x0723A2,0x060723A2,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,1-Hit Death P1,D60723A2+0200,160723A3+0001,1/2,conditional compare candidate before direct write,0x0723A2,0x060723A2,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,25% Energy P2,D607476E+0200,1607476E+0080,1/2,conditional compare candidate before direct write,0x07476E,0x0607476E,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,50% Energy P2,D607476E+0200,1607476E+0100,1/2,conditional compare candidate before direct write,0x07476E,0x0607476E,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,75% Energy P2,D607476E+0200,1607476E+0180,1/2,conditional compare candidate before direct write,0x07476E,0x0607476E,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,1-Hit Death P2,D607476E+0200,1607476E+0001,1/2,conditional compare candidate before direct write,0x07476E,0x0607476E,0x0200,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,P1 Needs 1 Win to Win,D6072300+0000,16072300+0001,1/2,conditional compare candidate before direct write,0x072300,0x06072300,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
D6,libretro-sega-saturn\Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht,Battle Arena Toshinden Ultimate Revenge Attack,P2 Needs 1 Win to Win,D60746CC+0000,160746CC+0001,1/2,conditional compare candidate before direct write,0x0746CC,0x060746CC,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
F6,libretro-sega-saturn\Battle Monsters (GameShark).cht,Battle Monsters,(M),F6000924+C305,B6002800+0000,1/2,master/enabler first record,0x000924,0x06000924,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Battle Monsters (GameShark).cht,Battle Monsters,(M),B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Battle Stations (GameShark).cht,Battle Stations,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Battle Stations (GameShark).cht,Battle Stations,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
10,libretro-sega-saturn\Black Dawn (GameShark).cht,Black Dawn,Infinite Missiles,102B9630+0064,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B9630,0x002B9630,0x0064,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Black Dawn (GameShark).cht,Black Dawn,Infinite Napalm,102B9634+0064,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B9634,0x002B9634,0x0064,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Black Dawn (GameShark).cht,Black Dawn,Infinite Rockets,102B9632+0064,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B9632,0x002B9632,0x0064,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Black Dawn (GameShark).cht,Black Dawn,Infinite TAC,102B9636+0064,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2B9636,0x002B9636,0x0064,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
F6,libretro-sega-saturn\Bottom of the 9th (GameShark).cht,Bottom of the 9th,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Bottom of the 9th (GameShark).cht,Bottom of the 9th,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Bubble Bobble featuring Rainbow Islands (GameShark).cht,Bubble Bobble featuring Rainbow Islands,Master Code,F6000924+C305,B6002800+0000,1/2,master/enabler first record,0x000924,0x06000924,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Bubble Bobble featuring Rainbow Islands (GameShark).cht,Bubble Bobble featuring Rainbow Islands,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
