"source_file","game_name","cheat_name","original_code_lines","detected_type","code_prefixes","address_or_addresses","values","reason_currently_unsupported","possible_future_support","estimated_runtime_complexity","estimated_resource_risk","correctness_risk","recommended_priority","notes"
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","1-Hit Death P2","D607476E+0200+1607476E+0001","conditional + direct write","16;D6","0x07476E","0x0200;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","25% Energy P1","D60723A2+0200+160723A2+0080","conditional + direct write","16;D6","0x0723A2","0x0200;0x0080","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","25% Energy P2","D607476E+0200+1607476E+0080","conditional + direct write","16;D6","0x07476E","0x0200;0x0080","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","50% Energy P1","D60723A2+0200+160723A2+0100","conditional + direct write","16;D6","0x0723A2","0x0200;0x0100","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","50% Energy P2","D607476E+0200+1607476E+0100","conditional + direct write","16;D6","0x07476E","0x0200;0x0100","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","75% Energy P1","D60723A2+0200+160722A2+0180","conditional + direct write","16;D6","0x0723A2;0x0722A2","0x0200;0x0180","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","75% Energy P2","D607476E+0200+1607476E+0180","conditional + direct write","16;D6","0x07476E","0x0200;0x0180","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","P1 Needs 1 Win to Win","D6072300+0000+16072300+0001","conditional + direct write","16;D6","0x072300","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Battle Arena Toshinden Ultimate Revenge Attack (GameShark).cht","Battle Arena Toshinden Ultimate Revenge Attack","P2 Needs 1 Win to Win","D60746CC+0000+160746CC+0001","conditional + direct write","16;D6","0x0746CC","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","1-Hit Death P1 [Code Master]","D60723A2+0200+160723A3+0001","conditional + direct write","16;D6","0x0723A2;0x0723A3","0x0200;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","1-Hit Death P2 [Code Master]","D607476E+0200+1607476E+0001","conditional + direct write","16;D6","0x07476E","0x0200;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","25% Energy P1 [Code Master]","D60723A2+0200+160723A2+0080","conditional + direct write","16;D6","0x0723A2","0x0200;0x0080","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","25% Energy P2 [Code Master]","D607476E+0200+1607476E+0080","conditional + direct write","16;D6","0x07476E","0x0200;0x0080","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","50% Energy P1 [Code Master]","D60723A2+0200+160723A2+0100","conditional + direct write","16;D6","0x0723A2","0x0200;0x0100","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","50% Energy P2 [Code Master]","D607476E+0200+1607476E+0100","conditional + direct write","16;D6","0x07476E","0x0200;0x0100","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","75% Energy P1 [Code Master]","D60723A2+0200+160722A2+0180","conditional + direct write","16;D6","0x0723A2;0x0722A2","0x0200;0x0180","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","75% Energy P2 [Code Master]","D607476E+0200+1607476E+0180","conditional + direct write","16;D6","0x07476E","0x0200;0x0180","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","P1 Needs 1 Win to Win [Code Master]","D6072300+0000+16072300+0001","conditional + direct write","16;D6","0x072300","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Battle Arena Toshinden URA - Ultimate Revenge Attack (USA MK-81054) (GameHacking).cht","Battle Arena Toshinden URA - Ultimate Revenge Attack","P2 Needs 1 Win to Win [Code Master]","D60746CC+0000+160746CC+0001","conditional + direct write","16;D6","0x0746CC","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"Crime Wave (GameShark).cht","Crime Wave","1-Hit Death P1","D6065C06+0032+16065C06+0001","conditional + direct write","16;D6","0x065C06","0x0032;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Crime Wave (GameShark).cht","Crime Wave","25% Energy P1","D6065C06+0032+16065C06+000C","conditional + direct write","16;D6","0x065C06","0x0032;0x000C","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Crime Wave (GameShark).cht","Crime Wave","50% Energy P1","D6065C06+0032+16065C06+0019","conditional + direct write","16;D6","0x065C06","0x0032;0x0019","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"Crime Wave (GameShark).cht","Crime Wave","75% Energy P1","D6065C06+0032+16065C06+0025","conditional + direct write","16;D6","0x065C06","0x0032;0x0025","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"manual_import_queue_20260613\CrimeWave (USA T-8807H) (GameHacking).cht","Crimewave","1-Hit Death P1 [Code Master]","D6065C06+0032+16065C06+0001","conditional + direct write","16;D6","0x065C06","0x0032;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\CrimeWave (USA T-8807H) (GameHacking).cht","Crimewave","25% Energy P1 [Code Master]","D6065C06+0032+16065C06+000C","conditional + direct write","16;D6","0x065C06","0x0032;0x000C","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\CrimeWave (USA T-8807H) (GameHacking).cht","Crimewave","50% Energy P1 [Code Master]","D6065C06+0032+16065C06+0019","conditional + direct write","16;D6","0x065C06","0x0032;0x0019","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\CrimeWave (USA T-8807H) (GameHacking).cht","Crimewave","75% Energy P1 [Code Master]","D6065C06+0032+16065C06+0025","conditional + direct write","16;D6","0x065C06","0x0032;0x0025","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\D-Xhird (Jpn T-10307G) (GameHacking).cht","D-Xhird","Disable Blocking Both Players [nolberto82]","D6047D3E+8F02+16047D3E+0009","conditional + direct write","16;D6","0x047D3E","0x8F02;0x0009","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\D-Xhird (Jpn T-10307G) (GameHacking).cht","D-Xhird","Hit Anywhere Both Players [nolberto82]","D6047B08+A526+16047B08+0009","conditional + direct write","16;D6","0x047B08","0xA526;0x0009","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Die Hard Arcade (GameShark).cht","Die Hard Arcade","Infinite Energy P1","D60CC166+0000+160CC166+0072","conditional + direct write","16;D6","0x0CC166","0x0000;0x0072","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","1 Lap to Finish The Race (Benetton)","36017B99+0007+D6017B98+1700","conditional + direct write","36;D6","0x017B99;0x017B98","0x0007;0x1700","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","1 Lap to Finish The Race (Ferrari)","36017CD9+0007+D6017CD8+1700","conditional + direct write","36;D6","0x017CD9;0x017CD8","0x0007;0x1700","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","1 Lap to Finish The Race (Tyrrell)","36017BE9+0007+D6017BE8+1700","conditional + direct write","36;D6","0x017BE9;0x017BE8","0x0007;0x1700","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\F1 Challenge (GameShark).cht","F1 Challenge","1 Lap to Finish The Race (Williams)","36017C39+0007+D6017C38+1700","conditional + direct write","36;D6","0x017C39;0x017C38","0x0007;0x1700","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\FIFA - Road to World Cup 98 (GameShark).cht","FIFA - Road to World Cup 98","Faster Halves","D60F621A+0000+160F621A+0090","conditional + direct write","16;D6","0x0F621A","0x0000;0x0090","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighters Megamix (GameShark).cht","Fighters Megamix","1-Hit Death P1","D606552C+00FA+1606552C+0001","conditional + direct write","16;D6","0x06552C","0x00FA;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighters Megamix (GameShark).cht","Fighters Megamix","1-Hit Death P2","D606732C+00FA+1606732C+0001","conditional + direct write","16;D6","0x06732C","0x00FA;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","1-Hit Death P1","D60945A0+00FA+16062828+0001+160945A0+0001","conditional + direct write","16;D6","0x0945A0;0x062828","0x00FA;0x0001;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","1-Hit Death P2","D60945A4+00FA+16064728+0001+160945A4+0001","conditional + direct write","16;D6","0x0945A4;0x064728","0x00FA;0x0001;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","25% Energy P1","D60945A0+00FA+16062828+003E+160945A0+003E","conditional + direct write","16;D6","0x0945A0;0x062828","0x00FA;0x003E;0x003E","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","25% Energy P2","D60945A4+00FA+16064728+003E+160945A4+003E","conditional + direct write","16;D6","0x0945A4;0x064728","0x00FA;0x003E;0x003E","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","50% Energy P1","D60945A0+00FA+16062828+007D+160945A0+007D","conditional + direct write","16;D6","0x0945A0;0x062828","0x00FA;0x007D;0x007D","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","50% Energy P2","D60945A4+00FA+16064728+007D+160945A4+007D","conditional + direct write","16;D6","0x0945A4;0x064728","0x00FA;0x007D;0x007D","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","75% Energy P1","D60945A0+00FA+16062828+00B7+160945A0+00B7","conditional + direct write","16;D6","0x0945A0;0x062828","0x00FA;0x00B7;0x00B7","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","75% Energy P2","D60945A4+00FA+16064728+00B7+160945A4+00B7","conditional + direct write","16;D6","0x0945A4;0x064728","0x00FA;0x00B7;0x00B7","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","P1 Needs 1 Match to Win","D60E0008+0000+360E0008+0001","conditional + direct write","36;D6","0x0E0008","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Fighting Vipers (GameShark).cht","Fighting Vipers","P2 Needs 1 Match to Win","D60E0008+0000+360E0009+0001","conditional + direct write","36;D6","0x0E0008;0x0E0009","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_8bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Iron Storm (USA T-12701H) (GameHacking).cht","Iron Storm","Build Units Anywhere [InterAct]","D60060340001+160DE6E00001","conditional + direct write","16;D6","0x006034;0x0DE6E0","0x0001;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
